"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231209-080017,tabula_muris,relationnet_5w_50s_fc-conc_sum_7lg_2lf,val,84.41333333333333,9.70747554627265,5,50,15
20231209-080017,tabula_muris,relationnet_5w_50s_fc-conc_sum_7lg_2lf,test,77.54222222222221,9.562468817023312,5,50,15
20231209-080315,tabula_muris,relationnet_5w_70s_fc-conc_sum_7lg_2lf,train,94.56444444444445,6.615464113129085,5,70,15
20231209-080315,tabula_muris,relationnet_5w_70s_fc-conc_sum_7lg_2lf,val,83.68222222222222,9.621722080920293,5,70,15
20231209-080315,tabula_muris,relationnet_5w_70s_fc-conc_sum_7lg_2lf,test,81.05555555555556,9.230698915528325,5,70,15
20231209-080611,tabula_muris,relationnet_5w_90s_fc-conc_sum_7lg_2lf,train,95.46222222222222,5.737567773073997,5,90,15
20231209-080611,tabula_muris,relationnet_5w_90s_fc-conc_sum_7lg_2lf,val,85.46222222222221,8.770724592446353,5,90,15
20231209-080611,tabula_muris,relationnet_5w_90s_fc-conc_sum_7lg_2lf,test,81.11333333333333,10.100335894671286,5,90,15
20231209-080902,tabula_muris,relationnet_10w_5s_fc-conc_sum_7lg_2lf,train,95.75888888888889,4.069445164960119,10,5,15
20231209-080902,tabula_muris,relationnet_10w_5s_fc-conc_sum_7lg_2lf,val,70.65333333333334,8.077942532325638,10,5,15
20231209-080902,tabula_muris,relationnet_10w_5s_fc-conc_sum_7lg_2lf,test,64.49222222222222,8.056279737563521,10,5,15
20231209-081155,tabula_muris,relationnet_20w_5s_fc-conc_sum_7lg_2lf,train,96.42833333333333,2.3827413794789996,20,5,15
20231209-081155,tabula_muris,relationnet_20w_5s_fc-conc_sum_7lg_2lf,val,55.72444444444445,5.1292547529819235,20,5,15
20231209-081155,tabula_muris,relationnet_20w_5s_fc-conc_sum_7lg_2lf,test,52.81666666666667,5.337125388016231,20,5,15
20231209-081457,tabula_muris,relationnet_30w_5s_fc-conc_sum_7lg_2lf,train,92.39259259259259,2.67004929492161,30,5,15
20231209-081457,tabula_muris,relationnet_30w_5s_fc-conc_sum_7lg_2lf,val,48.055925925925926,3.3109743736783903,30,5,15
20231209-081457,tabula_muris,relationnet_30w_5s_fc-conc_sum_7lg_2lf,test,45.577777777777776,3.076420345128035,30,5,15
20231209-081805,tabula_muris,relationnet_40w_5s_fc-conc_sum_7lg_2lf,train,93.325,1.8076291511668428,40,5,15
20231209-081805,tabula_muris,relationnet_40w_5s_fc-conc_sum_7lg_2lf,val,39.25925925925926,2.083266003246378,40,5,15
20231209-081805,tabula_muris,relationnet_40w_5s_fc-conc_sum_7lg_2lf,test,38.95709876543211,2.3333039182612554,40,5,15
20231209-082126,tabula_muris,relationnet_50w_5s_fc-conc_sum_7lg_2lf,train,85.45688888888888,2.0536707755433894,50,5,15
20231209-082126,tabula_muris,relationnet_50w_5s_fc-conc_sum_7lg_2lf,val,31.73789173789174,1.9199573727082946,50,5,15
20231209-082126,tabula_muris,relationnet_50w_5s_fc-conc_sum_7lg_2lf,test,31.070679012345682,1.9967165310071882,50,5,15
20231209-124804,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_2lf,train,90.11555555555556,8.961397598230997,5,5,15
20231209-124804,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_2lf,val,84.60222222222222,9.258525333876054,5,5,15
20231209-124804,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_2lf,test,79.65333333333334,10.390229028238947,5,5,15
20231209-125045,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_1lf,train,90.78,8.458117293354837,5,5,15
20231209-125045,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_1lf,val,81.46,11.137069898583109,5,5,15
20231209-125045,tabula_muris,relationnet_5w_5s_cosine_mean_7lg_1lf,test,78.6888888888889,11.057001580474576,5,5,15
20231209-125317,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_2lf,train,90.09777777777778,8.94473125834145,5,5,15
20231209-125317,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_2lf,val,84.61111111111111,9.251539745054387,5,5,15
20231209-125317,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_2lf,test,79.66444444444444,10.408400927930439,5,5,15
20231209-125619,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_1lf,train,90.82222222222222,8.357889744885028,5,5,15
20231209-125619,tabula_muris,relationnet_5w_5s_cosine_mean_2lg_1lf,val,81.41111111111111,11.135922298224731,5,5,15
